post_index,post_unique_url,post_title,occurrence_index,thumb_url,full_url,inferred_full_url,chosen_download_url,chosen_kind,alt,title,classes,style
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",6,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a45a2970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a45a2970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a45a2970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a45a2970c-popup,full,When we left,When we left,asset  asset-image at-xid-6a00df3523b1d0883401b8d08a45a2970c img-responsive,display: block; margin-left: auto; margin-right: auto;
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",7,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7003f13970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7003f13970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7003f13970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7003f13970b-popup,full,IMG_2921,IMG_2921,asset  asset-image at-xid-6a00df3523b1d0883401b7c7003f13970b img-responsive,display: block; margin-left: auto; margin-right: auto;
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",8,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a476e970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a476e970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a476e970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a476e970c-popup,full,IMG_2921,IMG_2921,asset  asset-image at-xid-6a00df3523b1d0883401b8d08a476e970c img-responsive,display: block; margin-left: auto; margin-right: auto;
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",9,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a47e0970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a47e0970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a47e0970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d08a47e0970c-popup,full,IMG_2921,IMG_2921,asset  asset-image at-xid-6a00df3523b1d0883401b8d08a47e0970c img-responsive,display: block; margin-left: auto; margin-right: auto;
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",10,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c700401c970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c700401c970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c700401c970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c700401c970b-popup,full,IMG_2924,IMG_2924,asset  asset-image at-xid-6a00df3523b1d0883401b7c700401c970b img-responsive,display: block; margin-left: auto; margin-right: auto;
19,https://endlessknots.netage.com/endlessknots/2014/11/ray-not-tom-but-what-a-pair-clickandclack.html,"Ray, not Tom, but what a pair #clickandclack",11,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7004026970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7004026970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7004026970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7004026970b-popup,full,IMG_2924,IMG_2924,asset  asset-image at-xid-6a00df3523b1d0883401b7c7004026970b img-responsive,display: block; margin-left: auto; margin-right: auto;
20,https://endlessknots.netage.com/endlessknots/2014/09/on-the-25th-anniversary-of-my-mothers-death.html,On the 25th anniversary of my mother's death...,0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c6dcf121970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c6dcf121970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c6dcf121970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c6dcf121970b-popup,full,Lipreading classes 30Oct1945,Lipreading classes 30Oct1945,asset  asset-image at-xid-6a00df3523b1d0883401b7c6dcf121970b img-responsive,display: block; margin-left: auto; margin-right: auto;
21,https://endlessknots.netage.com/endlessknots/2014/08/dani-menkins-is-it-you-which-might-be-me-or-you.html,"Dani Menkin's ""Is That You?"" which might be me--or you",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a73e0c8a7d970d-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a73e0c8a7d970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a73e0c8a7d970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a73e0c8a7d970d-popup,full,Is It You montage,Is It You montage,asset  asset-image at-xid-6a00df3523b1d0883401a73e0c8a7d970d img-responsive,display: block; margin-left: auto; margin-right: auto;
22,https://endlessknots.netage.com/endlessknots/2014/08/another-stop-on-the-writers-blog-tour.html,Another stop on the writer's blog tour,0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d05ff10b970c-320wi,,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d05ff10b970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d05ff10b970c-popup,inferred_full,Hitchmyride,Hitchmyride,asset  asset-image at-xid-6a00df3523b1d0883401b8d05ff10b970c img-responsive,display: block; margin-left: auto; margin-right: auto;
24,https://endlessknots.netage.com/endlessknots/2014/06/the-branches-of-coincidence-during-the-anniversary.html,"The branches of coincidence during the ""anniversary""",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a3fd1cf462970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a3fd1cf462970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a3fd1cf462970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401a3fd1cf462970b-popup,full,Book of trees,Book of trees,asset  asset-image at-xid-6a00df3523b1d0883401a3fd1cf462970b img-responsive,display: block; margin-left: auto; margin-right: auto;
